"","MP","1_y3","1_y5","1_y10","2_y3","2_y5","2_y10","3_y3","3_y5","3_y10"
"1",1,"57% (68%)","69% (82%)","86% (94%)","31% (25%)","31% (25%)","33% (28%)","0 kt (0 kt)","0 kt (0 kt)","0 kt (0 kt)"
"2",2,"32% (41%)","36% (47%)","41% (59%)","57% (48%)","55% (46%)","57% (48%)","3.6 kt (3.6 kt)","3.3 kt (3.3 kt)","3.1 kt (3.1 kt)"
"3",3,"11% (17%)","8% (13%)","6% (10%)","80% (76%)","79% (75%)","80% (76%)","9.2 kt (11.1 kt)","6.2 kt (8 kt)","2.8 kt (4.1 kt)"
"4",4,"31% (41%)","35% (46%)","37% (55%)","57% (48%)","56% (47%)","58% (50%)","3.7 kt (3.7 kt)","3.5 kt (3.5 kt)","3.3 kt (3.4 kt)"
"5",5,"30% (40%)","31% (43%)","30% (47%)","58% (49%)","57% (49%)","60% (52%)","3.7 kt (3.8 kt)","3.5 kt (3.6 kt)","3.3 kt (3.4 kt)"
"6",6,"24% (32%)","23% (34%)","22% (35%)","65% (57%)","64% (56%)","66% (58%)","5.6 kt (6 kt)","4.8 kt (5.4 kt)","4 kt (4.8 kt)"
"7",7,"25% (34%)","26% (37%)","25% (40%)","65% (57%)","65% (57%)","68% (60%)","5.6 kt (5.7 kt)","5.3 kt (5.4 kt)","5 kt (5.2 kt)"
"8",8,"21% (28%)","19% (29%)","15% (28%)","72% (64%)","71% (64%)","74% (67%)","7.4 kt (7.5 kt)","7.1 kt (7.2 kt)","6.2 kt (6.9 kt)"
"9",9,"17% (23%)","14% (22%)","10% (19%)","75% (70%)","75% (69%)","77% (71%)","9.1 kt (9.3 kt)","8.4 kt (8.9 kt)","4.1 kt (6.7 kt)"
"10",10,"14% (19%)","10% (17%)","7% (13%)","79% (73%)","77% (72%)","79% (74%)","10 kt (10.9 kt)","7 kt (9.4 kt)","3.2 kt (4.9 kt)"
"11",11,"11% (17%)","8% (13%)","5% (9%)","81% (76%)","79% (75%)","80% (76%)","9.2 kt (11.1 kt)","6.1 kt (8 kt)","2.8 kt (4 kt)"
