"","OM","MP","y3","y5","y10"
"1","OMbase",1,0,0,0
"2","OMbase",2,3566,3317,3127
"3","OMbase",3,11105.1560311958,8035.46616634657,4081.33992700684
"4","OMbase",4,3728.5,3534.5,3445
"5","OMbase",5,3776.5,3571,3435
"6","OMbase",6,6007,5423.5,4790
"7","OMbase",7,5657,5433,5218.5
"8","OMbase",8,7524.5,7240.5,6894
"9","OMbase",9,9338,8927.74127258858,6739.90882936142
"10","OMbase",10,10927.2782727734,9377.35672579597,4863.8777249008
"11","OMbase",11,11051.1227254546,7964.65912009146,4000.91694487138
"12","OMcore1",1,0,0,0
"13","OMcore1",2,3586,3339,3177
"14","OMcore1",3,12453.5,12052.5,12148
"15","OMcore1",4,3784,3650,3784
"16","OMcore1",5,3827,3703,3856
"17","OMcore1",6,6195,6040,6581
"18","OMcore1",7,5711.5,5549,5575
"19","OMcore1",8,7592,7412.15586475483,7384
"20","OMcore1",9,9425.26961500359,9219,9184
"21","OMcore1",10,11148,10936.4337026178,10920
"22","OMcore1",11,12665.6192418582,12256.1752305451,12399.5
"23","OMcore2",1,0,0,0
"24","OMcore2",2,3568,3320,3135
"25","OMcore2",3,11077.8979058538,8225.86728884471,4799.00613365811
"26","OMcore2",4,3765,3620,3749
"27","OMcore2",5,3812.5,3671.5,3748
"28","OMcore2",6,6129,5783,5842
"29","OMcore2",7,5674,5492,5408
"30","OMcore2",8,7525,7289,7080
"31","OMcore2",9,9331,9001,8453
"32","OMcore2",10,10943,9783.20211359344,5871.04641775562
"33","OMcore2",11,11011.2183020399,8104.70013008369,4704.13188501007
"34","OMcore3",1,0,0,0
"35","OMcore3",2,3559.5,3314,3093
"36","OMcore3",3,9206.20320510388,6192.1922665367,2846.87569792122
"37","OMcore3",4,3682,3461,3275
"38","OMcore3",5,3706,3475,3252
"39","OMcore3",6,5636,4818,3972.13749771209
"40","OMcore3",7,5594,5316,5011.5
"41","OMcore3",8,7442,7070,6207.51067163251
"42","OMcore3",9,9140.5,8421.14990559115,4117.79578795448
"43","OMcore3",10,10016.0858788539,7029.32854852877,3234.73261270338
"44","OMcore3",11,9157.65774458563,6142.98691504819,2803.0124739845
"45","OMcore4",1,0,0,0
"46","OMcore4",2,3609,3346,3148
"47","OMcore4",3,12350,9518.01053482048,5094.11138337051
"48","OMcore4",4,3776,3574.5,3491
"49","OMcore4",5,3818,3615,3490.5
"50","OMcore4",6,6182,5660,5106.5
"51","OMcore4",7,5712,5490.5,5280.47728672405
"52","OMcore4",8,7595,7330,7002
"53","OMcore4",9,9434,9067,8260.80542433315
"54","OMcore4",10,11159,10527,6207.42122207929
"55","OMcore4",11,12511.4481606795,9399.22382329139,4997.16458652343
"56","OMstress1",1,0,0,0
"57","OMstress1",2,3595.5,3346,3183
"58","OMstress1",3,12962.5,12932,13108
"59","OMstress1",4,3831,3863,4726
"60","OMstress1",5,3901,4014,7316.5
"61","OMstress1",6,6439,6767,9328
"62","OMstress1",7,5779.5,5755.5,6389
"63","OMstress1",8,7698.5,7634,8086.5
"64","OMstress1",9,9582,9490,9762
"65","OMstress1",10,11407,11334,11493
"66","OMstress1",11,13168,13125,13269
"67","OMstress2",1,0,0,0
"68","OMstress2",2,3517,3281.5,3107
"69","OMstress2",3,10154.8451526522,7479.24090879978,3843.96053351274
"70","OMstress2",4,3694.5,3529.5,3512
"71","OMstress2",5,3738,3562,3485
"72","OMstress2",6,5987,5491.5,5085
"73","OMstress2",7,5608.5,5402.5,5255
"74","OMstress2",8,7477.5,7212,6910
"75","OMstress2",9,9239,8853.23697538698,6680.66402574919
"76","OMstress2",10,10708.1387472938,8680.32523186471,4646.6788843699
"77","OMstress2",11,10069.8414738714,7409.04522975092,3781.94259804755
"78","OMstress3",1,0,0,0
"79","OMstress3",2,3479,3239,3083
"80","OMstress3",3,9396.17515642146,6228.34432707048,2422.54434740436
"81","OMstress3",4,3631,3491,3502
"82","OMstress3",5,3666.5,3513,3458.5
"83","OMstress3",6,6004.78793772967,5507,5176
"84","OMstress3",7,5637.5,5445,5305
"85","OMstress3",8,7519,7250.31381821834,6934.73971957126
"86","OMstress3",9,9298,8887.5,5954.70794824882
"87","OMstress3",10,10699,7981.0109702995,3380.03754963816
"88","OMstress3",11,9271.23317172134,6077.10617236099,2197.57889076907
